season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2021,Joel Embiid,7-0,280,1,2020-12-23,26,34:50,10,17,.588,1,1,1.000,8,9,.889,2,12,14,2,0,1,3,3,29,-2
2021,Joel Embiid,7-0,280,2,2020-12-26,26,30:39,10,20,.500,2,4,.500,5,7,.714,4,6,10,2,1,1,1,3,27,+18
2021,Joel Embiid,7-0,280,,2020-12-27,26,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021,Joel Embiid,7-0,280,3,2020-12-29,26,37:53,7,17,.412,1,6,.167,14,16,.875,4,12,16,4,2,2,5,1,29,+15
2021,Joel Embiid,7-0,280,4,2020-12-31,26,26:41,7,11,.636,1,2,.500,6,8,.750,0,9,9,2,0,2,0,2,21,+23
2021,Joel Embiid,7-0,280,5,2021-01-02,26,36:44,7,11,.636,1,2,.500,4,6,.667,3,11,14,4,1,1,5,2,19,+19
2021,Joel Embiid,7-0,280,6,2021-01-04,26,24:54,4,10,.400,0,3,.000,6,8,.750,1,10,11,4,2,3,1,1,14,+18
2021,Joel Embiid,7-0,280,7,2021-01-06,26,36:36,11,20,.550,3,4,.750,13,13,1.000,0,8,8,5,3,3,5,1,38,+14
2021,Joel Embiid,7-0,280,8,2021-01-07,26,29:52,7,14,.500,2,2,1.000,4,5,.800,0,12,12,3,0,1,5,5,20,-16
2021,Joel Embiid,7-0,280,,2021-01-09,26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2021,Joel Embiid,7-0,280,9,2021-01-11,26,22:49,8,17,.471,1,4,.250,7,8,.875,2,9,11,1,0,1,3,2,24,-27
2021,Joel Embiid,7-0,280,10,2021-01-12,26,39:20,16,23,.696,0,3,.000,13,13,1.000,2,14,16,4,5,1,4,2,45,+4
2021,Joel Embiid,7-0,280,11,2021-01-14,26,23:36,3,8,.375,1,2,.500,2,4,.500,0,5,5,1,1,0,3,1,9,+4
2021,Joel Embiid,7-0,280,,2021-01-16,26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2021,Joel Embiid,7-0,280,12,2021-01-20,26,32:53,12,19,.632,1,5,.200,17,21,.810,0,10,10,2,1,1,1,2,42,+15
2021,Joel Embiid,7-0,280,13,2021-01-22,26,30:13,11,15,.733,2,2,1.000,14,15,.933,3,8,11,3,1,0,5,5,38,+13
2021,Joel Embiid,7-0,280,14,2021-01-23,26,35:05,10,20,.500,1,2,.500,12,17,.706,5,9,14,1,1,2,3,2,33,+13
2021,Joel Embiid,7-0,280,,2021-01-25,26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2021,Joel Embiid,7-0,280,15,2021-01-27,26,37:43,8,18,.444,1,3,.333,11,13,.846,1,5,6,4,0,2,5,4,28,+8
